cue	output	source_pack	source_file(s)	license	source_url	transformation
aimedshot	Assets/Resources/Audio/Sfx/aimedshot.wav	Battle Sound Effects	Bow.wav	CC0-1.0	https://opengameart.org/content/battle-sound-effects	48k mono; pitch; trim; fade; soft-limit
ambush	Assets/Resources/Audio/Sfx/ambush.wav	Kenney RPG Audio	knifeSlice2.ogg	CC0-1.0	https://kenney.nl/assets/rpg-audio	48k mono; pitch; trim; fade; soft-limit
ambushimpact	Assets/Resources/Audio/Sfx/ambushimpact.wav	Kenney Impact Sounds	impactSoft_medium_003.ogg	CC0-1.0	https://kenney.nl/assets/impact-sounds	48k mono; pitch; trim; fade; soft-limit
arrowcontact	Assets/Resources/Audio/Sfx/arrowcontact.wav	Kenney Impact Sounds	impactWood_light_001.ogg + impactSoft_medium_001.ogg	CC0-1.0	https://kenney.nl/assets/impact-sounds	layered; 48k mono; trim; fade; soft-limit
arrowrain	Assets/Resources/Audio/Sfx/arrowrain.wav	Battle Sound Effects	Bow.wav x4	CC0-1.0	https://opengameart.org/content/battle-sound-effects	layered offsets/pitches; 48k mono; trim; fade; soft-limit
attack	Assets/Resources/Audio/Sfx/attack.wav	Battle Sound Effects	swish_2.wav	CC0-1.0	https://opengameart.org/content/battle-sound-effects	48k mono; trim; fade; soft-limit
blade	Assets/Resources/Audio/Sfx/blade.wav	Battle Sound Effects	swish_3.wav	CC0-1.0	https://opengameart.org/content/battle-sound-effects	48k mono; pitch; trim; fade; soft-limit
bladecontact	Assets/Resources/Audio/Sfx/bladecontact.wav	StarNinjas Sword Clashes + Kenney Impact Sounds	sword_clash.2.ogg + impactSoft_medium_001.ogg	CC0-1.0	https://opengameart.org/content/20-sword-sound-effects-attacks-and-clashes	layered; 48k mono; trim; fade; soft-limit
blocked	Assets/Resources/Audio/Sfx/blocked.wav	Kenney Interface Sounds	error_003.ogg	CC0-1.0	https://kenney.nl/assets/interface-sounds	48k mono; trim; fade; soft-limit
bow	Assets/Resources/Audio/Sfx/bow.wav	Battle Sound Effects	Bow.wav	CC0-1.0	https://opengameart.org/content/battle-sound-effects	48k mono; pitch; trim; fade; soft-limit
cache	Assets/Resources/Audio/Sfx/cache.wav	Kenney Interface Sounds	confirmation_004.ogg	CC0-1.0	https://kenney.nl/assets/interface-sounds	48k mono; trim; fade; soft-limit
charge	Assets/Resources/Audio/Sfx/charge.wav	Battle Sound Effects + Kenney Impact Sounds	swish_4.wav + footstep_concrete_003.ogg	CC0-1.0	https://opengameart.org/content/battle-sound-effects	layered; 48k mono; pitch; trim; fade; soft-limit
chargeimpact	Assets/Resources/Audio/Sfx/chargeimpact.wav	Kenney Impact Sounds	impactMetal_heavy_004.ogg + impactPunch_heavy_002.ogg	CC0-1.0	https://kenney.nl/assets/impact-sounds	layered; 48k mono; trim; fade; soft-limit
counter	Assets/Resources/Audio/Sfx/counter.wav	StarNinjas Sword Attacks/Clashes	sword.1.ogg + sword_clash.3.ogg	CC0-1.0	https://opengameart.org/content/20-sword-sound-effects-attacks-and-clashes	layered; 48k mono; pitch; trim; fade; soft-limit
dialoguepage	Assets/Resources/Audio/Sfx/dialoguepage.wav	Kenney RPG Audio	bookFlip2.ogg	CC0-1.0	https://kenney.nl/assets/rpg-audio	48k mono; trim; fade; soft-limit
door	Assets/Resources/Audio/Sfx/door.wav	Kenney RPG Audio	doorOpen_1.ogg	CC0-1.0	https://kenney.nl/assets/rpg-audio	48k mono; trim; fade; soft-limit
